 step     T          P        Pxy       etotal     epotential      ebonded     ekinetic
 2300   0.9826    0.47022  0.05374   578028.945     1262.713   547281.446    29484.787
 2310   0.9830    0.47112  0.05346   578029.739     1262.871   547271.309    29495.559
 2320   0.9829    0.47187  0.05316   578014.484     1258.686   547261.855    29493.942
 2330   0.9828    0.47254  0.05269   578005.810     1262.142   547253.698    29489.970
 2340   0.9829    0.47334  0.05202   578007.268     1267.309   547246.351    29493.607
 2350   0.9832    0.47429  0.05119   578009.369     1268.956   547239.181    29501.232
 2360   0.9831    0.47524  0.05026   577991.138     1260.017   547232.018    29499.103
 2370   0.9830    0.47628  0.04919   577985.404     1264.194   547225.133    29496.078
 2380   0.9822    0.47714  0.04801   577957.770     1268.288   547218.633    29470.848
 2390   0.9816    0.47821  0.04676   577934.324     1268.183   547212.513    29453.628
 2400   0.9812    0.47942  0.04521   577918.883     1269.201   547206.864    29442.817
 2410   0.9804    0.48049  0.04360   577894.652     1273.437   547202.143    29419.073
 2420   0.9798    0.48164  0.04191   577874.465     1276.598   547198.223    29399.644
 2430   0.9792    0.48277  0.03990   577854.087     1277.069   547195.544    29381.474
 2440   0.9787    0.48385  0.03782   577844.249     1282.869   547194.169    29367.211
 2450   0.9779    0.48479  0.03556   577814.975     1277.771   547193.512    29343.693
 2460   0.9776    0.48585  0.03314   577817.252     1289.854   547193.889    29333.510
 2470   0.9769    0.48684  0.03066   577796.593     1288.787   547193.909    29313.897
 2480   0.9762    0.48778  0.02811   577775.595     1289.297   547194.296    29292.002
 2490   0.9754    0.48862  0.02553   577764.418     1299.868   547195.399    29269.150
 2500   0.9746    0.48933  0.02283   577749.148     1307.049   547197.207    29244.892
 2510   0.9735    0.48974  0.02005   577715.508     1304.259   547200.083    29211.166
 2520   0.9729    0.49017  0.01713   577695.105     1299.933   547203.742    29191.430
 2530   0.9717    0.49022  0.01395   577664.251     1299.315   547208.007    29156.929
 2540   0.9714    0.49037  0.01092   577674.214     1312.698   547213.203    29148.314
 2550   0.9713    0.49040  0.00797   577678.709     1313.734   547219.068    29145.907
 2560   0.9712    0.49025  0.00503   577679.181     1312.854   547225.059    29141.268
 2570   0.9706    0.48971  0.00214   577675.385     1318.022   547232.072    29125.290
 2580   0.9708    0.48926 -0.00071   577678.475     1310.894   547239.011    29128.569
 2590   0.9706    0.48851 -0.00345   577675.418     1305.038   547246.373    29124.007
 2600   0.9702    0.48745 -0.00614   577668.692     1303.448   547254.087    29111.157
 2610   0.9700    0.48619 -0.00885   577675.923     1307.533   547262.807    29105.583
 2620   0.9702    0.48480 -0.01149   577701.673     1318.309   547272.469    29110.895
 2630   0.9704    0.48309 -0.01398   577713.331     1312.646   547283.478    29117.206
 2640   0.9704    0.48105 -0.01627   577727.373     1313.882   547295.547    29117.943
 2650   0.9702    0.47872 -0.01855   577725.123     1305.878   547308.335    29110.910
 2660   0.9706    0.47644 -0.02074   577756.664     1309.797   547322.004    29124.864
 2670   0.9708    0.47386 -0.02277   577770.724     1303.613   547336.728    29130.382
 2680   0.9709    0.47114 -0.02471   577790.932     1305.106   547352.068    29133.757
 2690   0.9713    0.46845 -0.02645   577815.601     1301.312   547368.077    29146.213
 2700   0.9718    0.46580 -0.02803   577844.405     1301.143   547383.867    29159.396
 2710   0.9719    0.46301 -0.02950   577862.664     1298.289   547400.230    29164.145
 2720   0.9721    0.46016 -0.03092   577890.455     1304.461   547417.314    29168.680
 2730   0.9720    0.45731 -0.03215   577908.840     1310.266   547433.974    29164.600
 2740   0.9720    0.45469 -0.03336   577923.954     1306.622   547450.168    29167.163
 2750   0.9722    0.45220 -0.03436   577948.090     1309.909   547466.465    29171.715
 2760   0.9722    0.44969 -0.03523   577958.583     1304.921   547483.270    29170.393
 2770   0.9719    0.44727 -0.03600   577974.141     1309.905   547499.941    29164.295
 2780   0.9722    0.44512 -0.03673   577994.851     1307.832   547516.613    29170.407
 2790   0.9724    0.44302 -0.03735   578006.603     1294.440   547533.984    29178.178
 2800   0.9726    0.44106 -0.03812   578027.434     1293.028   547551.286    29183.120
 2810   0.9727    0.43918 -0.03878   578042.865     1288.853   547568.465    29185.547
 2820   0.9721    0.43726 -0.03934   578037.710     1284.499   547584.527    29168.684
 2830   0.9721    0.43579 -0.03992   578054.953     1286.437   547599.551    29168.965
 2840   0.9724    0.43458 -0.04043   578071.712     1280.856   547613.910    29176.946
 2850   0.9722    0.43336 -0.04107   578074.693     1274.840   547627.368    29172.485
 2860   0.9719    0.43219 -0.04165   578085.095     1281.437   547640.469    29163.189
 2870   0.9717    0.43117 -0.04239   578087.242     1276.363   547653.080    29157.798
 2880   0.9712    0.43015 -0.04295   578081.648     1275.238   547664.680    29141.731
 2890   0.9713    0.42950 -0.04346   578089.100     1270.323   547675.150    29143.627
 2900   0.9712    0.42889 -0.04397   578098.153     1270.668   547684.806    29142.680
 2910   0.9709    0.42829 -0.04459   578095.473     1268.687   547693.139    29133.647
 2920   0.9707    0.42776 -0.04516   578093.016     1267.107   547700.442    29125.466
 2930   0.9704    0.42718 -0.04575   578102.208     1276.059   547707.794    29118.355
 2940   0.9702    0.42668 -0.04623   578105.397     1279.256   547714.166    29111.976
 2950   0.9700    0.42626 -0.04664   578109.304     1283.224   547719.322    29106.758
 2960   0.9703    0.42599 -0.04716   578116.918     1279.457   547723.807    29113.653
 2970   0.9703    0.42556 -0.04747   578118.768     1274.749   547728.577    29115.442
 2980   0.9702    0.42508 -0.04772   578122.371     1277.590   547732.509    29112.273
 2990   0.9700    0.42454 -0.04817   578114.987     1273.039   547735.767    29106.181
 3000   0.9700    0.42413 -0.04853   578120.700     1276.686   547738.051    29105.964
 3010   0.9697    0.42367 -0.04877   578108.210     1272.021   547739.221    29096.967
 3020   0.9696    0.42332 -0.04893   578113.248     1279.304   547739.498    29094.447
 3030   0.9695    0.42312 -0.04891   578112.892     1283.959   547737.986    29090.947
 3040   0.9700    0.42331 -0.04895   578123.723     1284.506   547734.683    29104.535
 3050   0.9698    0.42337 -0.04885   578112.476     1283.360   547730.114    29099.002
 3060   0.9696    0.42353 -0.04877   578102.537     1284.463   547724.365    29093.709
 3070   0.9697    0.42393 -0.04858   578097.732     1284.704   547717.214    29095.815
 3080   0.9703    0.42471 -0.04819   578101.371     1277.428   547708.505    29115.438
 3090   0.9706    0.42551 -0.04771   578110.762     1289.351   547698.139    29123.273
 3100   0.9707    0.42636 -0.04710   578106.031     1290.638   547687.101    29128.291
 3110   0.9709    0.42723 -0.04646   578111.951     1304.785   547675.551    29131.614
 3120   0.9711    0.42819 -0.04581   578105.079     1303.528   547663.666    29137.885
 3130   0.9712    0.42920 -0.04492   578097.806     1304.902   547651.075    29141.829
 3140   0.9714    0.43040 -0.04399   578083.609     1297.614   547637.346    29148.649
 3150   0.9718    0.43181 -0.04289   578091.358     1308.061   547622.297    29161.000
 3160   0.9718    0.43308 -0.04166   578078.089     1312.679   547606.758    29158.653
 3170   0.9721    0.43461 -0.04028   578077.411     1317.874   547590.388    29169.149
 3180   0.9727    0.43638 -0.03889   578071.736     1313.336   547573.011    29185.388
 3190   0.9730    0.43817 -0.03761   578061.600     1310.434   547555.123    29196.043
 3200   0.9735    0.44007 -0.03609   578043.777     1297.215   547536.994    29209.568
 3210   0.9732    0.44170 -0.03455   578019.111     1298.690   547519.081    29201.340
 3220   0.9728    0.44334 -0.03312   577990.233     1300.884   547500.951    29188.397
 3230   0.9728    0.44519 -0.03152   577971.482     1297.886   547482.948    29190.648
 3240   0.9734    0.44736 -0.03001   577972.038     1298.451   547464.474    29209.113
 3250   0.9734    0.44937 -0.02853   577955.178     1302.510   547445.478    29207.190
 3260   0.9735    0.45154 -0.02701   577942.124     1306.602   547426.154    29209.368
 3270   0.9739    0.45388 -0.02566   577942.466     1312.755   547407.046    29222.665
 3280   0.9737    0.45608 -0.02431   577918.244     1315.216   547387.643    29215.385
 3290   0.9736    0.45853 -0.02294   577884.559     1304.613   547367.491    29212.455
 3300   0.9736    0.46115 -0.02147   577858.255     1298.565   547347.099    29212.591
 3310   0.9738    0.46404 -0.01994   577833.016     1285.598   547326.169    29221.249
 3320   0.9739    0.46689 -0.01835   577813.188     1284.912   547305.734    29222.542
 3330   0.9740    0.46985 -0.01683   577798.829     1287.463   547285.416    29225.950
 3340   0.9742    0.47287 -0.01528   577791.813     1294.054   547265.670    29232.089
 3350   0.9744    0.47601 -0.01370   577780.371     1296.846   547245.610    29237.915
 3360   0.9745    0.47909 -0.01215   577768.652     1300.209   547226.213    29242.230
 3370   0.9741    0.48195 -0.01056   577733.127     1296.228   547207.394    29229.505
 3380   0.9741    0.48490 -0.00903   577710.701     1292.927   547189.515    29228.260
